iter	Passed	Remaining
0	1	1168
1	2	1199
2	3	1164
3	4	1138
4	5	1125
5	6	1104
6	7	1112
7	8	1104
8	10	1105
9	11	1113
10	12	1114
11	13	1116
12	14	1124
13	15	1122
14	17	1125
15	18	1121
16	19	1119
17	20	1119
18	21	1122
19	22	1117
20	23	1117
21	25	1115
22	26	1111
23	27	1112
24	28	1113
25	29	1099
26	30	1098
27	31	1104
28	32	1103
29	33	1091
30	34	1089
31	35	1086
32	37	1085
33	38	1089
34	39	1087
35	40	1087
36	41	1085
37	42	1084
38	44	1087
39	45	1087
40	46	1086
41	47	1084
42	48	1083
43	49	1081
44	50	1080
45	52	1080
46	53	1079
47	54	1079
48	55	1080
49	56	1079
50	58	1079
51	59	1079
52	60	1080
53	61	1078
54	62	1079
55	63	1077
56	65	1086
57	66	1086
58	67	1084
59	69	1083
60	70	1082
61	71	1081
62	72	1079
63	73	1078
64	74	1077
65	76	1075
66	77	1075
67	78	1074
68	79	1072
69	80	1071
70	81	1070
71	83	1070
72	84	1069
73	85	1067
74	86	1066
75	87	1065
76	88	1065
77	90	1064
78	91	1062
79	92	1062
80	93	1061
81	94	1060
82	95	1059
83	97	1057
84	98	1056
85	99	1054
86	100	1053
87	101	1051
88	102	1051
89	103	1051
90	105	1049
91	106	1048
92	107	1047
93	108	1046
94	109	1045
95	110	1043
96	111	1042
97	113	1041
98	114	1040
99	115	1038
100	116	1037
101	117	1035
102	118	1034
103	119	1033
104	121	1032
105	122	1031
106	123	1029
107	124	1028
108	125	1026
109	126	1025
110	128	1025
111	129	1024
112	130	1022
113	131	1021
114	132	1020
115	133	1019
116	134	1017
117	135	1015
118	137	1015
119	138	1013
120	139	1012
121	140	1010
122	141	1010
123	142	1009
124	144	1008
125	145	1007
126	146	1005
127	147	1004
128	148	1002
129	149	1001
130	150	1000
131	151	999
132	153	998
133	154	996
134	155	995
135	156	994
136	157	993
137	158	992
138	160	991
139	161	990
140	162	989
141	163	987
142	164	985
143	165	986
144	166	984
145	168	982
146	169	981
147	170	980
148	171	980
149	172	979
150	173	977
151	175	976
152	176	975
153	177	974
154	178	973
155	179	971
156	180	970
157	181	968
158	183	968
159	184	967
160	185	965
161	186	964
162	187	963
163	188	962
164	190	961
165	191	960
166	192	959
167	193	958
168	194	957
169	195	955
170	196	954
171	198	953
172	199	952
173	200	950
174	201	949
175	202	948
176	203	947
177	204	946
178	206	945
179	207	944
180	208	943
181	209	942
182	210	940
183	211	939
184	213	938
185	214	936
186	215	935
187	216	934
188	217	932
189	218	931
190	219	930
191	220	929
192	221	927
193	223	926
194	224	925
195	225	924
196	226	923
197	227	922
198	228	920
199	229	919
200	230	918
201	232	916
202	233	915
203	234	914
204	235	912
205	236	911
206	237	910
207	238	909
208	239	907
209	241	906
210	242	905
211	243	904
212	244	903
213	245	902
214	246	901
215	248	900
216	249	899
217	250	898
218	251	897
219	252	896
220	253	894
221	254	893
222	256	892
223	257	891
224	258	890
225	259	889
226	260	888
227	261	886
228	263	885
229	264	884
230	265	883
231	266	882
232	267	881
233	268	879
234	269	878
235	271	877
236	272	876
237	273	875
238	274	873
239	275	872
240	276	871
241	277	870
242	279	869
243	280	867
244	281	866
245	282	865
246	283	864
247	284	863
248	285	862
249	287	861
250	288	859
251	289	858
252	290	857
253	291	856
254	292	855
255	294	854
256	295	853
257	296	852
258	297	851
259	298	850
260	300	849
261	301	848
262	302	847
263	303	846
264	304	845
265	306	844
266	307	843
267	308	842
268	309	841
269	310	840
270	311	838
271	313	837
272	314	836
273	315	835
274	316	834
275	317	833
276	318	832
277	319	830
278	321	829
279	322	828
280	323	827
281	324	826
282	325	825
283	326	824
284	328	823
285	329	821
286	330	820
287	331	819
288	332	818
289	333	816
290	334	815
291	336	814
292	337	813
293	338	812
294	339	811
295	340	810
296	342	809
297	343	808
298	344	807
299	345	806
300	346	805
301	347	803
302	348	802
303	350	801
304	351	800
305	352	799
306	353	798
307	354	796
308	355	795
309	356	794
310	358	793
311	359	792
312	360	790
313	361	789
314	362	788
315	364	788
316	365	788
317	366	786
318	368	785
319	369	784
320	370	783
321	371	781
322	372	780
323	373	779
324	375	778
325	376	777
326	377	776
327	378	775
328	379	774
329	381	773
330	382	772
331	383	771
332	384	770
333	385	769
334	386	767
335	388	766
336	389	765
337	390	764
338	391	763
339	392	762
340	394	762
341	395	761
342	396	759
343	397	758
344	398	757
345	400	756
346	401	754
347	402	754
348	403	752
349	404	751
350	405	750
351	406	749
352	408	747
353	409	746
354	410	745
355	411	744
356	412	743
357	413	742
358	414	740
359	416	739
360	417	738
361	418	737
362	419	735
363	420	734
364	421	733
365	422	732
366	423	731
367	425	729
368	426	728
369	427	727
370	429	727
371	430	726
372	431	725
373	432	724
374	433	723
375	435	722
376	436	720
377	437	719
378	438	718
379	439	717
380	440	716
381	441	714
382	443	713
383	444	712
384	445	711
385	446	710
386	447	709
387	449	708
388	450	707
389	451	706
390	453	705
391	454	704
392	455	703
393	456	702
394	457	701
395	458	699
396	459	698
397	461	697
398	462	696
399	463	694
400	464	693
401	465	692
402	466	691
403	467	690
404	468	688
405	470	687
406	471	686
407	472	685
408	473	684
409	474	683
410	475	682
411	476	680
412	478	679
413	479	678
414	480	677
415	481	675
416	482	674
417	483	673
418	484	672
419	485	671
420	487	669
421	488	668
422	489	667
423	490	666
424	491	665
425	492	664
426	494	662
427	495	661
428	496	660
429	497	659
430	498	658
431	500	657
432	501	656
433	502	655
434	503	654
435	504	652
436	505	651
437	507	650
438	508	649
439	509	648
440	510	646
441	511	645
442	512	644
443	513	643
444	515	642
445	516	641
446	517	640
447	518	639
448	519	637
449	520	636
450	521	635
451	523	634
452	524	632
453	525	631
454	526	630
455	527	629
456	528	628
457	529	626
458	531	625
459	532	624
460	533	623
461	534	622
462	535	621
463	536	620
464	537	618
465	539	617
466	540	616
467	541	615
468	542	614
469	543	613
470	544	612
471	546	610
472	547	609
